cityLabel,population,countryLabel,gps,longitude,latitude
Liuzhou,3625000,People's Republic of China,Point(109.40693 24.31814),109.41,24.32
Lanzhou,3616163,People's Republic of China,Point(103.83177 36.06171),103.83,36.06
Chengde,3610000,People's Republic of China,Point(117.932222222 40.973888888),117.93,40.97
Anshan,3584000,People's Republic of China,Point(122.98945 41.10662),122.99,41.11
Puyang,3580000,People's Republic of China,Point(115.02996 35.76392),115.03,35.76
Berlin,3574830,Germany,Point(13.383333333 52.516666666),13.38,52.52
Changzhou,3570000,People's Republic of China,Point(119.95071 31.78353),119.95,31.78
Suining,3556000,People's Republic of China,Point(105.57373 30.50984),105.57,30.51
Jiaozuo,3540101,People's Republic of China,Point(113.2304 35.22904),113.23,35.23
Xiamen,3531347,People's Republic of China,Point(118.733333333 24.6),118.73,24.60
Bengbu,3525000,People's Republic of China,Point(117.35312 32.93537),117.35,32.94
Lüliang,3500000,People's Republic of China,Point(111.13545 37.52028),111.14,37.52
Busan,3440484,South Korea,Point(129.040277777 35.1),129.04,35.10
Hyderabad,3429471,Pakistan,Point(68.368333333 25.379166666),68.37,25.38
Algiers,3415811,Algeria,Point(3.058611111 36.776388888),3.06,36.78
Jeddah,3400000,Saudi Arabia,Point(39.172777777 21.542777777),39.17,21.54
Taiyuan,3398000,People's Republic of China,Point(112.54245 37.87326),112.54,37.87
Addis Ababa,3384569,Ethiopia,Point(38.736944444 9.027222222),38.74,9.03
Lucknow,3382000,India,Point(80.915833333 26.860555555),80.92,26.86
Lucknow,3382000,India,Point(80.947 26.847),80.95,26.85
Chaoyang,3370000,People's Republic of China,Point(120.44856 41.57567),120.45,41.58
Leshan,3364000,People's Republic of China,Point(103.75755 29.5854),103.76,29.59
Jiaxing,3330000,People's Republic of China,Point(120.75284 30.76613),120.75,30.77
Heyuan,3320000,People's Republic of China,Point(114.69229 23.75033),114.69,23.75
Siping,3300000,People's Republic of China,Point(124.36438 43.17154),124.36,43.17
Chongqing,3229900,People's Republic of China,Point(106.506944444 29.55),106.51,29.55
Shiyan,3228000,People's Republic of China,Point(110.7755 32.63507),110.78,32.64
Faisalabad,3203846,Pakistan,Point(73.079 31.418),73.08,31.42
Qinzhou,3200000,People's Republic of China,Point(108.616666666 21.95),108.62,21.95
Putian,3190000,People's Republic of China,Point(119.010278 25.439444),119.01,25.44
Madrid,3182981,Spain,Point(-3.691944444 40.418888888),-3.69,40.42
Datong,3160000,People's Republic of China,Point(113.28883 40.09079),113.29,40.09
Shaoguan,3148000,People's Republic of China,Point(113.59271 24.80113),113.59,24.80
Bazhong,3134000,People's Republic of China,Point(106.75586 31.85764),106.76,31.86
Zhongshan,3121275,People's Republic of China,Point(113.35 22.533333333),113.35,22.53
Multan,3117000,Pakistan,Point(71.416666666 30.2),71.42,30.20
Ürümqi,3112559,People's Republic of China,Point(87.6 43.825),87.60,43.83
